
  абонемент  абонент
  абстрактность  абстракция
  авантюрин  авантюрист
  автобиографический  автобиографичный
  автоматический  автоматичный
  адресант  адресат
  академический  академичный
  аккордный  аккордовый
  активировать  активизировать
  акулий  акуловый
  акционерный  акционерский
  аллегорический  аллегоричный
  аллегри  аллегро
  анархический  анархичный
  анекдотический  анекдотичный
  антагонистический  антагонистичный
  антипатический  антипатичный
  антипедагогический  антипедагогичный
  антрацитный  антрацитовый
  апокрифический  апокрифичный
  аристократический  аристократичный
  аритмический  аритмичный
  ароматический  ароматичный
  артельный  артельский
  артистический  артистичный
  архаический  архаичный
  аспирант  аспират
  астматический  астматичный
  атавистический  атавистичный
  бабий  бабский
  барский  барственный
  бедный  бедственный
  безделица  бездельница
  безликий  безличный
  безответный  безответственный
  безыскусный  безыскусственный
  белеть  белить
  благодарный  благодарственный
  благотворительный  благотворный
  блистать  блестеть
  блудить  блуждать
  болезненный  болезный
  болотистый  болотный
  бородастый  бородатый
  братний  братский
  бродяжий  бродячий
  будний  будничный
  булавочный  булавчатый
  бывалый  бывший
  вакансия  вакация
  вакхальный  вакханальный
  варкий  варочный
  вассальный  вассальский
  вафельница  вафельщица
  вбежать  взбежать
  вбить  взбить
  ввалить  взвалить
  вдеть  вздеть
  вдовий  вдовый
  вдох  вздох
  вековой  вечный
  великий  величественный
  венец  венок
  веселеть  веселить
  ветровой  ветряной
  взрослеть  взрослить
  взрыть  врыть
  виноватый  виновный
  внеклассный  внеклассовый
  водный  водяной
  воинственный  воинствующий
  волосатый  волосистый
  воскресать  воскрешать
  воскресение  воскресенье
  воспитательный  воспитательский
  восход  всход
  впрыгнуть  вспрыгнуть
  враждебный  вражеский
  временник  временщик
  всякий  всяческий
  выбор  подбор
  выборный  выборочный
  выгода  выгодность
  выплатить  заплатить
  вырастить  нарастить
  высветить  высветлить
  высокий  высотный
  высший  вышний
  гагарий  гагаровый
  гадальный  гадательный
  гарантийный  гарантированный
  гармонический  гармоничный
  генеральный  генеральский
  гигиенический  гигиеничный
  гидрант  гидрат
  главный  заглавный
  глинистый  глиняный
  глупеть  глупить
  гневливый  гневный
  гнилой  гнилостный
  гнуткий  гнутый
  годовалый  годовой
  головашки  головешки
  гоночный  гончий
  гончарный  гончарский
  горделивый  гордый
  гордыня  гордость
  горний  горный
  горючий  горячий
  господний  господский
  гражданский  гражданственный
  грамматический  грамматичный
  графический  графичный
  грецкий  греческий
  грибное  грибковое
  грозный  грозовой
  громкий  громовой
  грубеть  грубить
  группа  группировка
  гуманизм  гуманность
  гуманный  гуманистический
  гусачий  гусячий
  густеть  густить
  дарёный  даровой
  дармоедный  дармоедский
  двигатель  движитель
  двоичный  двойной
  двойняшки  двояшки
  двойственный  двоякий
  двуручный  двурушный
  действенный  действительный
  деловитый  деловой
  дельный  деляческий
  дельфиний  дельфиновый
  демократический  демократичный
  дерзать  дерзить
  деспотический  деспотичный
  дидактический  дидактичный
  диктант  диктат
  динамический  динамичный
  дипломант  дипломат
  дипломатика  дипломатия
  дипломатический  дипломатичный
  длинный  длительный
  добровольный  добровольческий
  добрый  добротный
  добычливый  добычный
  доверчивый  доверительный
  довольствие  довольство
  догматический  догматичный
  дождевой  дождливый
  докучливо  докучно
  докучливый  докучный
  доминантный  доминантовый
  домоправление  домоуправление
  досадливо  досадно
  досадливый  досадный
  доходный  доходчивый
  драматический  драматичный
  дружеский  дружественный
  дудочный  дудчатый
  дуреть  дурить
  духовный  духовой
  дымный  дымовой
  единоверный  единоверческий
  единственный  единый
  жабий  жабный
  жавороночий  жавороночный
  жалостливо  жалостно
  жалостливый  жалостный
  желанный  желательный
  желтеть  желтить
  женский  женственный
  жестокий  жёсткий
  живой  животный
  живучий  живительный
  жизненный  житейский
  жилой  жилищный
  заблудиться  заблуждаться
  заботливый  заботный
  завидливый  завидный
  заводной  заводской
  завоевательный  завоевательский
  заживать  заживлять
  законодательный  законодательский
  запасливый  запасный
  затруднённый  затруднительный
  зачинатель  зачинщик
  звериный  зверский
  звучный  звуковой
  здравица  здравница
  зеленеть  зеленить
  земляной  земной
  зернистый  зерновой
  зимовник  зимовщик
  зло  злостно
  злобный  зловещий
  злой  злостный
  золотеть  золотить
  зрительный  зрительский
  зубастый  зубатый
  зубной  зубовой
  зубы  зубья
  иголочный  игольчатый
  игральный  игорный
  игривый  игристый
  идеалистистический  идеалистичный
  идиотический  идиотичный
  иждивенство  иждивенчество
  избирательный  избирательский
  изнашиваемость  изношенность
  изобретательный  изобретательский
  изуверный  изверуский
  изыскательный  изыскательский
  индейский  индийский
  инженерный  инженерский
  инновация  новация
  иноверный  иноверческий
  инородный  инородческий
  интеллигентный  интеллигентский
  интранет  интернет
  информативный  информационный
  информация  информированность
  иронический  ироничный
  искательный  искательский
  искусно  искусственно
  искусный  искусственный
  исполнительный  исполнительский
  испытательный  испытательский
  истерический  истеричный
  исторический  историчный
  истребительный  истребительский
  иструхляветь  иструхлявить
  исходный  исходящий
  кабинетный  кабинетский
  каменистый  каменный
  камчатный  Камчатский
  кардинальный  кардинальский
  квадрант  квадрат
  керосинный  керосиновый
  классный  классовый
  клёв  клюв
  клеёночный  клеёнчатый
  клеточный  клетчатый
  ковкий  ковочный
  кожаный  кожный
  кокетка  кокотка
  коллекторный  коллекторский
  командированный  командировочный
  комитент  комитет
  комический  комичный
  комфортный  комфортабельный
  кондукторный  кондукторский
  конный  конский
  конфузливо  конфузно
  конфузливый  конфузный
  концепция  концепт
  конъюнктура  конъектура
  коптеть  коптить
  коренной  корневой
  коричневый  коричный
  кормилица  кормильщица
  костный  костяной
  красочный  крашеный
  крестный  крёстный
  критический  критичный
  крокодилий  крокодиловый
  крючкотворный  крючкотворский
  кулацкий  кулачный
  купальник  купальщик
  лавочнический  лавочный
  лакированный  лакировочный
  леденеть  леденить
  ледовый  ледяной
  лесной  лесистый
  лирик  лирник
  лирический  лиричный
  личный  личностный
  лобный  лобовой
  ловкий  ловчий
  логический  логичный
  ломать  ломить
  луковичный  луковый
  малахитный  малахитовый
  малопонятливый  малопонятный
  малоудачливый  малоудачный
  масленый  масличный
  маслянистый  масляный
  мастистый  маститый
  меланхолический  меланхоличный
  мелкотравный  мелкотравчатый
  мелодика  мелодия
  мелодический  мелодичный
  мелодраматический  мелодраматичный
  мельничий  мельничный
  метафизический  метафизичный
  методистский  методический
  мечтательный  мечтательский
  микроскопический  микроскопичный
  мистический  мистичный
  мифический  мифичный
  могильник  могильщик
  могучий  могущественный
  молодеть  молодить
  монистический  монистичный
  мороженый  морозный
  мудреть  мудрить
  мужицкий  мужичий
  мучительный  мучительский
  наблюдательный  наблюдательский
  надувательный  надувательский
  наёмничий  наёмный
  накрапливать  накрапывать
  наличие  наличность
  наполнить  пополнить
  напоминание  упоминание
  насильно  насильственно
  наследие  наследство
  наследный  наследственный
  настоятельный  настоятельский
  натуралистический  натуралистичный
  нафталан  нафталин
  начертать  начертить
  невежа  невежда
  невинный  невиновный
  неврастенический  неврастеничный
  незаметливый  незаметный
  ненавистнический  ненавистынй
  ненаглядный  неоглядный
  неорганический  неорганичный
  непонятливо  непонятно
  непонятливый  непонятный
  неприглядный  непроглядный
  неприметливый  неприметный
  непроницаемый  непроницательный
  нестерпимо  нетерпимо
  нестерпимый  нетерпимый
  неудачливый  неудачный
  ниточный  нитчатый
  ныне  нынче
  обвинительный  обвинительский
  обвязать  обязать
  обделить  оделить
  обеднеть  обеднить
  обезводеть  обезводить
  обезглаветь  обезглавить
  обезденежеть  обезденежить
  обездушеть  обездушить
  обезземелеть  обезземелить
  обезлошадеть  обезлошадить
  обезлюдеть  обезлюдить
  обезножеть  обезножить
  обезрыбеть  обезрыбить
  обесплодеть  обесплодить
  обессилеть  обессилить
  обжорливый  обжорный
  обзолотить  озолотить
  обидный  обидчивый
  обличительный  обличительский
  обогреть  огреть
  оболванеть  оболванить
  оборолтивый  оборотный
  обоснование  основание
  обрывочный  обрывчатый
  обстоятельный  обстоятельственный
  обсудить  осудить
  обхватить  охватить
  овчарка  овчарня
  оглупеть  оглупить
  огородить  оградить
  ограничение  ограниченность
  огрызаться  отгрызаться
  одеть  надеть
  одинокий  одиночный
  однокоренной  однокорневой
  однорукий  одноручный
  одышка  отдышка
  оживать  оживлять
  озлеть  озлить
  озолотеть  озолотить
  окаменеть  окаменить
  оклик  отклик
  опаршиветь  опаршивить
  опасливо  опасно
  опасливый  опасный
  опечатать  отпечатать
  опечатки  отпечатки
  описка  отписка
  оплатить  отплатить
  оппортунистический  оппортунистичный
  опытнический  опытный
  органический  органичный
  ординарный  ординарческий
  орлёный  орлиный
  осветитель  осветлитель
  осветить  осветлить
  осиротеть  осиротить
  особенный  особый
  останки  остатки
  остеклеть  остеклить
  остепенеть  остепенить
  остервенеть  остервенить
  осуждение  обсуждение
  отбойник  отбойщик
  отборник  отборщик
  отборный  отборочный
  ответный  ответственный
  отдельный  отдельский
  отирать  оттирать
  отмета  отметка
  отречение  отрешение
  отрывок  обрывок
  отряхнуть  стряхнуть
  отходный  отходчивый
  отчётливый  отчётный
  оформительный  оформительский
  охладеть  охладить
  охотливо  охотно
  оцепенеть  оцепенить
  ошеек  ошейник
  пакостливый  пакостный
  палатный  палаточный
  памятливый  памятный
  пансионер  пенсионер
  парламентский  парламентёрский
  пастушеский  пастуший
  пастушок  пастушонок
  патриотический  патриотичный
  певческий  певчий
  педагогический  педагогичный
  пергаменный  пергаментный
  перегородочный  перегородчатый
  переливочный  переливчатый
  перепоночный  перепончатый
  переродиться  переродниться
  пионерный  пионерский
  плавки  плавни
  пластиночный  пластинчатый
  пластический  пластичный
  поверка  проверка
  поворотливый  поворотный
  поглотить  проглотить
  подбородник  подбородок
  подвижнический  подвижный
  подголовник  подголовок
  подживать  подживлять
  подпятник  подпяточник
  подрядный  подрядческий
  подстричь  постричь
  подхалимный  подхалимский
  поедем  поедим
  поиски  происки
  покорливый  покорный
  покупательный  покупательский
  полемический  полемичный
  полированный  полировочный
  полис  полюс
  политический  политичный
  полнеть  полнить
  помета  пометка
  понедельничный  понедельный
  понятливый  понятный
  популярный  популистский
  породить  породнить
  порумянеть  порумянить
  поручительный  поручительский
  посёлок  просёлок
  последовать  проследовать
  поспешливый  поспешный
  постель  пастель
  поступок  проступок
  потёки  потоки
  потребительный  потребительский
  поэтический  поэтичный
  правительский  правительственный
  праздничный  праздный
  практический  практичный
  предоставить  представить
  предоставление  представление
  представительный  представительский
  представиться  преставиться
